px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS_laser	NIS_radar
112.894	12.4385	1.80585	-0.207379	0.117018	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	N/A	0.75487
114.793	12.523	1.918	0.158821	0.268711	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	1.81773	N/A
114.795	12.5242	1.82728	0.160733	0.269604	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	N/A	0.178833
116.671	12.162	1.66603	-0.165443	-0.0843882	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	9.07034	N/A
116.701	12.1738	2.12865	-0.163308	-0.0758285	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	N/A	1.64785
118.944	11.987	2.3348	-0.0780463	0.0219551	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.822186	N/A
118.934	11.9872	2.18113	-0.0810806	0.0197297	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	N/A	0.208721
120.707	12.2689	1.61919	0.176124	0.16633	120.695	12.2918	120.743	12.3289	2.21139	0.128528	2.38503	N/A
120.742	12.2677	2.1042	0.174692	0.164387	120.934	12.1905	120.743	12.3289	2.21139	0.128528	N/A	1.86044
123.538	12.8337	3.18229	0.233903	0.0961851	123.568	12.8297	122.95	12.5114	2.29835	0.246599	3.82867	N/A
123.48	12.8282	2.43783	0.251691	0.110498	123.142	12.7694	122.95	12.5114	2.29835	0.246599	N/A	4.84884
124.923	12.803	0.976235	0.125361	-0.0330355	124.894	12.7743	125.242	12.8125	2.37624	0.369827	7.56586	N/A
125.012	12.8253	2.39249	0.117141	-0.0359644	125.376	12.9964	125.242	12.8125	2.37624	0.369827	N/A	14.1788
127.836	13.3144	3.0823	0.19415	0.0369643	127.853	13.3273	127.609	13.2365	2.44434	0.495787	1.79308	N/A
127.794	13.3119	2.61014	0.197575	0.0425661	127.506	13.153	127.609	13.2365	2.44434	0.495787	N/A	2.4691
129.96	13.7025	2.07086	0.195594	0.0152711	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.910047	N/A
129.996	13.707	2.37608	0.192375	0.0126822	130.334	13.781	130.042	13.7853	2.50232	0.621879	N/A	1.96918
132.101	14.4891	2.18381	0.394923	0.13535	132.092	14.507	132.53	14.458	2.55028	0.74543	1.23552	N/A
132.142	14.4903	2.65166	0.38446	0.123158	132.447	14.3423	132.53	14.458	2.55028	0.74543	N/A	2.35875
135.048	15.0723	3.0252	0.143252	-0.110608	135.074	15.0475	135.066	15.2513	2.58865	0.863795	4.47679	N/A
135.034	15.0649	2.63472	0.14491	-0.110577	135.127	14.6575	135.066	15.2513	2.58865	0.863795	N/A	1.0123
137.563	16.1736	2.66154	0.473689	0.175141	137.561	16.2147	137.639	16.1592	2.61821	0.974442	5.90047	N/A
137.588	16.1707	3.02357	0.464694	0.161367	137.653	16.5145	137.639	16.1592	2.61821	0.974442	N/A	0.997348
140.321	17.0314	2.77142	0.319485	-0.0377324	140.331	17.008	140.242	17.1733	2.63994	1.07503	2.9376	N/A
140.33	17.0344	2.90871	0.316932	-0.0398029	140.305	17.5379	140.242	17.1733	2.63994	1.07503	N/A	0.175395
142.896	17.9869	2.69399	0.348927	0.00822176	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.320755	N/A
142.89	17.986	2.88282	0.347038	0.00434467	142.626	18.1458	142.868	18.2829	2.65497	1.16346	N/A	0.931169
145.4	19.1535	2.73368	0.460047	0.0766214	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.46494	N/A
145.438	19.1576	3.03129	0.451096	0.0666072	145.789	19.3785	145.51	19.4754	2.66445	1.23795	N/A	2.24455
148.244	20.4789	3.1683	0.453439	0.0233237	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.204296	N/A
148.232	20.4774	2.94327	0.459853	0.0309447	148.146	20.9376	148.163	20.7364	2.66951	1.29702	N/A	0.365022
150.693	22.1028	2.9474	0.633555	0.126603	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.678523	N/A
150.706	22.1015	3.29078	0.620085	0.108565	150.649	21.8148	150.825	22.0502	2.67111	1.33953	N/A	0.926652
153.414	23.5097	2.95982	0.480926	-0.0559372	153.422	23.4909	153.491	23.3999	2.66999	1.3647	2.15439	N/A
153.411	23.5089	2.96132	0.481154	-0.0558194	153.466	22.9115	153.491	23.3999	2.66999	1.3647	N/A	0.0638896
156.047	24.8081	2.96115	0.428955	-0.0533579	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.000454803	N/A
156.038	24.8069	2.77826	0.432582	-0.04819	156.009	25.0678	156.159	24.7682	2.66666	1.37208	N/A	0.225972
158.892	26.0278	3.26876	0.375873	-0.0550831	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.722078	N/A
158.894	26.0283	3.1121	0.377901	-0.0517261	159.014	26.1903	158.827	26.1372	2.66127	1.36157	N/A	0.408934
161.426	27.4139	2.77379	0.508488	0.0690838	161.412	27.4256	161.493	27.4891	2.65371	1.33344	1.46105	N/A
161.441	27.4162	2.87566	0.505806	0.0657865	161.529	27.8454	161.493	27.4891	2.65371	1.33344	N/A	0.382823
